agency,complaint_type,descriptor,category,subcategory,raw_llm_response,request_count
DEP,Sewer,Manhole Cover Missing (Emergency) (SA3),Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",947
DCWP,Consumer Complaint,Garage or Parking Lot,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",946
DSNY,Sanitation Worker or Vehicle Complaint,Inappropriate Behavior,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",945
DCWP,Consumer Complaint,Restaurant,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",933
HPD,PAINT/PLASTER,CABINET,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",929
DEP,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",920
DPR,Illegal Tree Damage,Roots Damaged,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",919
DSNY,Missed Collection,Trash and Bulky Trash,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",918
DSNY,Sanitation Worker or Vehicle Complaint,Spilled Garbage,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",915
DOHMH,Indoor Air Quality,Dust from Construction,Environmental Health & Sanitation,Hazardous Materials & Safety,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Hazardous Materials & Safety""}",913
DOB,Special Projects Inspection Team (SPIT),Sign/Awning/Marquee - Illegal/No Permit,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",899
DPR,Wood Pile Remaining,Remove Debris,Parks & Community,Park Maintenance,"{""category"": ""Parks & Community"", ""subcategory"": ""Park Maintenance""}",895
HPD,PAINT/PLASTER,RADIATOR,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",893
DOT,Street Sign - Missing,"No Parking, Standing, Stopping",Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",891
DOHMH,Food Establishment,Letter Grading,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",887
DOHMH,Food Establishment,No Permit or License,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",881
DSNY,Snow or Ice,Roadway,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",880
DEP,Water System,Excessive Water In Basement (WEFB),Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",867
DOHMH,Non-Residential Heat,Inadequate or No Heat,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",865
DEP,Asbestos,Asbestos Complaint (B1),Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",863
TLC,Lost Property,Other,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",860
DOT,Street Sign - Missing,Other/Unknown,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",850
DOT,Traffic Signal Condition,Ped Lamp,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",846
DEP,Noise,Noise: Private Carting Noise (NQ1),Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",839
HPD,PAINT/PLASTER,DOOR/FRAME,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",836
DOT,Street Sign - Dangling,Other/Unknown,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",833
DOB,General Construction/Plumbing,Adjacent Buildings Not Protected,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",829
DEP,Air Quality,"Air: Smoke, Vehicular (AA4)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",823
DPR,Overgrown Tree/Branches,Clear Street Light,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",803
DSNY,Dirty Condition,Syringes,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",795
DOB,General Construction/Plumbing,Failure To Maintain,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",793
DOB,Plumbing,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",791
DCWP,Consumer Complaint,Stoop Line Stand,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",789
DOT,E-Scooter,Improperly Parked or Abandoned,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",784
DOT,Traffic Signal Condition,Ped Multiple Lamps,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",783
DSNY,Residential Disposal Complaint,Trash Not Separated from Recycling,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",777
DSNY,Dead Animal,Opossum,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",771
DEP,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",767
DSNY,Dumpster Complaint,Blocking Sidewalk or Street,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",760
DOT,Broken Parking Meter,Coin or Card Did Not Register,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",749
DOT,Traffic Signal Condition,Base Door,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",742
DOT,Street Light Condition,Street Light Dayburning,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",742
DOT,Street Light Condition,Multiple Street Lights Out,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",733
DSNY,Dead Animal,Bird,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",720
NYPD,Noise - Commercial,Car/Truck Music,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",718
DOT,Broken Parking Meter,Out of Order,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",715
DOB,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",712
DPR,Overgrown Tree/Branches,Traffic Sign or Signal Blocked,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",711
DSNY,Dumpster Complaint,Overflowing dumpster,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",706
DEP,Air Quality,"Air: Smoke, Chimney or vent (AS1)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",702
DSNY,Dead Animal,Squirrel,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",701
DCWP,Consumer Complaint,Used Car Dealer,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",699
DOHMH,Food Establishment,Bare Hands in Contact w/ Food,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",695
DOT,Street Sign - Dangling,"No Parking, Standing, Stopping",Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",694
DPR,Maintenance or Facility,Structure - Indoors,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",682
DOT,Broken Parking Meter,No Receipt,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",669
NYPD,Animal-Abuse,No Shelter,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",655
DOT,Street Condition,Line/Marking - After Repaving,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",651
DOT,Street Sign - Damaged,Stop,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",650
DOB,Investigations and Discipline (IAD),Investigative Inspection,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",647
DPR,Dead/Dying Tree,Planted Less Than 2 Years Ago,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",641
NYPD,Noise - House of Worship,Loud Music/Party,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",633
HPD,OUTSIDE BUILDING,ROOFING,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",624
NYPD,Disorderly Youth,Nuisance/Truant,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",624
DOHMH,Food Establishment,Food Contaminated,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",621
DOT,Street Sign - Dangling,Stop,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",618
DOHMH,Unsanitary Animal Pvt Property,Cat,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",615
DEP,Sewer,Culvert Blocked/Needs Cleaning (SE),Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",612
DOT,Street Light Condition,Lamppost Knocked Down,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",608
DOT,Street Light Condition,Fixture/Luminaire Hanging,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",606
DPR,Violation of Park Rules,BBQ Outside Authorized Area,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",605
DCWP,Consumer Complaint,Home Improvement Contractor,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",604
DPR,Illegal Tree Damage,Bicycle Chained to Tree,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",604
DPR,Illegal Tree Damage,Unauthorized Tree Removal,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",600
DOT,Street Condition,Plate Condition - Shifted,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",598
DOT,Street Light Condition,Street Light Cycling,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",591
DOT,Sidewalk Condition,Sidewalk Collapsed,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",590
DOB,Plumbing,Plumbing-Defective/Leaking/Not Maintained,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",590
DSNY,Dead Animal,Other,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",586
DOT,Outdoor Dining,Barrier Condition,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",581
DOHMH,Asbestos,N/A,Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",576
NYPD,Noise - House of Worship,Loud Talking,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",572
DOT,Outdoor Dining,Unauthorized Restaurant,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",570
DOHMH,Food Poisoning,3 or More,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",568
DOB,General Construction/Plumbing,Wall/Retaining Wall - Bulging/Cracked,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",554
DOHMH,Construction Lead Dust,In Common Areas,Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",548
NYPD,Drinking,Underage - Licensed Est,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",548
DOT,Street Sign - Missing,Stop,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",545
DOT,Street Condition,Dumpster - Construction Waste,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",545
DOT,Sidewalk Condition,Pedestrian Ramp Defective,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",543
DSNY,Sanitation Worker or Vehicle Complaint,Noise,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",534
DOB,Special Projects Inspection Team (SPIT),Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",526
DOT,Traffic Signal Condition,Veh Sgnl Mult Lamps,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",526
DOT,Traffic Signal Condition,Cable,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",521
DSNY,Dead Animal,Dog,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",521
DPR,Violation of Park Rules,Smoking,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",520
DSNY,Illegal Posting,Sticker or Decal,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",520
DOT,Traffic Signal Condition,Vehicle Signal,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",513
NYPD,Noise - Commercial,Car/Truck Horn,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",512
DPR,Maintenance or Facility,Recreation Center,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",507
DSNY,Commercial Disposal Complaint,Waste Left in Front of Residence,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",506
DOHMH,Indoor Sewage,Sewage Leak,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",500
DOT,Street Sign - Damaged,St Name - Attached to Pole,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",499
DOT,Street Light Condition,Lamppost Damaged,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",498
DOT,Street Light Condition,Traffic Signal Light,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",495
DOT,Traffic Signal Condition,Underground,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",494
DSNY,Residential Disposal Complaint,Mattress or Box Spring Uncovered,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",492
DEP,Noise,"Noise: Boat(Engine,Music,Etc) (NR10)",Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",491
DPR,Maintenance or Facility,Snow or Ice,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",490
DPR,Violation of Park Rules,Unsafe Use of Playground,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",489
DPR,Damaged Tree,Tree Trunk Split,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",488
DSNY,Commercial Disposal Complaint,Private Carter Decal Not Posted,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",487
TLC,Taxi Report,Driver Report - Passenger,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",485
DOT,Street Light Condition,Street Light Lamp Missing,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",481
NYPD,Animal-Abuse,Chained,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",472
DOT,Curb Condition,Curb Defect-Metal Protruding,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",472
DOT,Traffic Signal Condition,Veh Signal Visor,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",471
TLC,Lost Property,Clothing/Glasses,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",467
DOT,Traffic Signal Condition,Street Light Feed,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",467
DPR,Animal in a Park,Dead Animal,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",456
DOHMH,Construction Lead Dust,Common Areas and Apartment,Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",453
DOT,Traffic Signal Condition,Controller Cabinet,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",450
DOHMH,Food Establishment,Food Contains Foreign Object,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",448
HPD,SAFETY,SPRINKLER,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",440
DOHMH,Mosquitoes,Large Number of Mosquitoes,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",437
DOHMH,Mobile Food Vendor,Insects / Pests,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",435
DOE,School Maintenance,Air Conditioning Problem,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",430
DOT,Outdoor Dining,Street Zone Blocked,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",427
DCWP,Consumer Complaint,Laundromat,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",419
DCWP,Consumer Complaint,Street Fair Vendor,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",419
DOT,Street Sign - Missing,St Name - Attached to Pole,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",417
DSNY,Dirty Condition,Debris from Car Accident,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",414
DOHMH,Harboring Bees/Wasps,Bees/Wasps - Not a beekeper,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",414
DOT,Street Light Condition,Lamppost Wire Exposed,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",414
DOT,Bus Stop Shelter Complaint,Broken Glass,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",412
NYPD,Traffic,Chronic Stoplight Violation,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",408
EDC,Noise - Helicopter,News Gathering,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",407
DCWP,Consumer Complaint,Mobile Food Vendor,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",405
DOHMH,Food Establishment,Kitchen/Food Prep Area,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",403
DCWP,Consumer Complaint,Drug Store or Pharmacy,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",397
DOHMH,Food Establishment,Toilet Facility,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",397
DOT,Street Light Condition,Street Light Lamp Dim,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",395
DOHMH,Standing Water,Other - Explain Below,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",393
DOHMH,Food Establishment,Food Worker Hygiene,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",372
DOT,Street Light Condition,Lamppost Leaning,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",370
DOHMH,Food Establishment,Odor,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",369
DOT,Street Light Condition,Lamppost Missing,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",365
DOT,Street Condition,Wear & Tear,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",363
DEP,Sewer,RAIN GARDEN DEBRIS (GIRGD),Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",361
DOHMH,Drinking Water,Illness Caused by Drinking Water,Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",358
DPR,Maintenance or Facility,Broken Glass,Parks & Community,Park Maintenance,"{""category"": ""Parks & Community"", ""subcategory"": ""Park Maintenance""}",358
DOB,Plumbing,Gas Hook-Up/Piping - Illegal Or Defective,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",357
DOB,Emergency Response Team (ERT),Lights From Parking Lot Shining On Building,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",357
